,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
21,6425.0,405.0,0.0,8284.0,22.35,0.0,20.9449
22,6727.0,405.0,0.0,8285.0,22.35,0.0,20.9449
23,7029.0,405.0,0.0,8284.0,22.35,0.0,20.9449
24,7331.0,405.0,0.0,8284.0,22.35,0.0,20.9449
25,7633.0,405.0,0.0,8284.0,22.35,0.0,20.9449
26,7935.0,405.0,0.0,8284.0,22.39,0.0,20.9849
27,8239.0,405.0,0.0,8284.0,22.35,0.0,20.9449
28,8541.0,405.0,0.0,8284.0,22.35,0.0,20.9449
29,8843.0,405.0,0.0,8284.0,22.39,0.0,20.9849
30,9145.0,405.0,0.0,8284.0,22.35,0.0,20.9449
31,9447.0,405.0,0.0,8284.0,22.35,0.0,20.9449
32,9749.0,405.0,0.0,8284.0,22.35,0.0,20.9449
33,10051.0,405.0,0.0,8283.0,22.35,0.0,20.9449
34,10353.0,405.0,0.0,8284.0,22.35,0.0,20.9449
35,10655.0,405.0,0.0,8283.0,22.35,0.0,20.9449
36,10958.0,405.0,0.0,8283.0,22.35,0.0,20.9449
37,11260.0,405.0,0.0,8283.0,22.32,0.0,20.9149
38,11566.0,405.0,0.0,8283.0,22.32,0.0,20.9149
39,11868.0,405.0,0.0,8282.0,22.32,0.0,20.9149
40,12170.0,405.0,0.0,8283.0,22.32,0.0,20.9149
41,12472.0,405.0,0.0,8282.0,22.29,0.0,20.8849
42,12774.0,405.0,0.0,8281.0,22.25,0.0,20.8449
43,13076.0,405.0,0.0,8281.0,22.25,0.0,20.8449
44,13379.0,609.0,0.5,8280.0,22.25,0.5261997477,20.8449
45,13681.0,832.0,1.07,8280.0,22.22,1.1075607477,20.814899999999998
46,13983.0,837.0,1.08,8279.0,22.18,1.1205957477,20.7749
47,14285.0,688.0,0.7,8278.0,22.15,0.7321527476999999,20.744899999999998
48,14587.0,719.0,0.78,8277.0,22.12,0.8129697477,20.7149
49,14890.0,666.0,0.65,8276.0,22.08,0.6747987476999999,20.674899999999997
50,15193.0,674.0,0.67,8275.0,22.05,0.6956547476999999,20.6449
51,15495.0,663.0,0.64,8273.0,21.98,0.6669777477,20.5749
52,15797.0,518.0,0.27,8272.0,21.95,0.28896274769999997,20.5449
53,16100.0,500.0,0.23,8270.0,21.91,0.24203674769999994,20.5049
54,16402.0,534.0,0.31,8269.0,21.88,0.33067474769999994,20.474899999999998
55,16704.0,543.0,0.34,8268.0,21.81,0.35413774769999995,20.404899999999998
56,17006.0,597.0,0.47,8266.0,21.78,0.49491574769999996,20.3749
57,17312.0,657.0,0.62,8265.0,21.71,0.6513357476999999,20.3049
58,17614.0,577.0,0.42,8264.0,21.64,0.44277574769999994,20.2349
59,17916.0,571.0,0.41,8262.0,21.61,0.42713374769999995,20.2049
60,18218.0,573.0,0.41,8261.0,21.58,0.43234774769999995,20.174899999999997
61,18522.0,487.0,0.2,8259.0,21.51,0.20814574769999994,20.1049
62,18824.0,593.0,0.46,8257.0,21.44,0.48448774769999997,20.0349
63,19126.0,614.0,0.52,8256.0,21.41,0.5392347476999999,20.0049
64,19428.0,555.0,0.37,8255.0,21.37,0.38542174769999993,19.9649
65,19730.0,565.0,0.39,8253.0,21.31,0.41149174769999997,19.904899999999998
66,20033.0,573.0,0.41,8252.0,21.24,0.43234774769999995,19.834899999999998
67,20335.0,603.0,0.49,8250.0,21.2,0.5105577477,19.7949
68,20637.0,522.0,0.28,8249.0,21.14,0.29939074769999996,19.7349
69,20939.0,571.0,0.41,8247.0,21.07,0.42713374769999995,19.6649
70,21241.0,507.0,0.24,8246.0,21.03,0.26028574769999996,19.6249
71,21544.0,517.0,0.27,8244.0,20.97,0.28635574769999994,19.564899999999998
72,21847.0,566.0,0.4,8243.0,20.93,0.41409874769999994,19.5249
73,22149.0,519.0,0.28,8241.0,20.9,0.29156974769999994,19.494899999999998
74,22451.0,509.0,0.25,8239.0,20.83,0.26549974769999996,19.424899999999997
75,22753.0,557.0,0.37,8238.0,20.76,0.3906357476999999,19.3549
76,23058.0,581.0,0.43,8236.0,20.7,0.45320374769999994,19.2949
77,23361.0,580.0,0.43,8234.0,20.66,0.45059674769999997,19.2549
78,23663.0,478.0,0.17,8233.0,20.6,0.18468274769999996,19.1949
79,23965.0,459.0,0.13,8231.0,20.56,0.13514974769999996,19.154899999999998
80,24267.0,518.0,0.27,8230.0,20.49,0.28896274769999997,19.084899999999998
81,24569.0,448.0,0.1,8228.0,20.46,0.10647274769999995,19.0549
82,24872.0,405.0,0.0,8226.0,20.39,0.0,18.9849
83,25175.0,421.0,0.03,8225.0,20.36,0.03608374769999995,18.9549
84,25477.0,405.0,0.0,8223.0,20.29,0.0,18.8849
85,25779.0,405.0,0.0,8222.0,20.26,0.0,18.8549
86,26081.0,405.0,0.0,8221.0,20.19,0.0,18.7849
87,26383.0,405.0,0.0,8220.0,20.19,0.0,18.7849
