,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
17,5152.0,421.0,0.03,8263.0,21.64,0.0,21.4539
18,5450.0,416.0,0.02,8263.0,21.64,0.0,21.4539
19,5749.0,423.0,0.04,8263.0,21.64,0.0,21.4539
20,6047.0,430.0,0.05,8263.0,21.64,0.0,21.4539
21,6346.0,421.0,0.03,8263.0,21.64,0.0,21.4539
22,6644.0,424.0,0.04,8263.0,21.64,0.0,21.4539
23,6942.0,424.0,0.04,8263.0,21.68,0.0,21.4939
24,7241.0,424.0,0.04,8264.0,21.64,0.0,21.4539
25,7539.0,426.0,0.04,8263.0,21.68,0.0,21.4939
26,7837.0,424.0,0.04,8263.0,21.68,0.0,21.4939
27,8136.0,419.0,0.03,8262.0,21.68,0.0,21.4939
28,8434.0,420.0,0.03,8263.0,21.64,0.0,21.4539
29,8733.0,414.0,0.01,8263.0,21.64,0.0,21.4539
30,9031.0,421.0,0.03,8263.0,21.64,0.0,21.4539
31,9329.0,405.0,0.0,8263.0,21.64,0.0,21.4539
32,9628.0,415.0,0.02,8263.0,21.68,0.0,21.4939
33,9926.0,418.0,0.02,8263.0,21.64,0.0,21.4539
34,10224.0,418.0,0.02,8263.0,21.64,0.0,21.4539
35,10523.0,414.0,0.01,8263.0,21.64,0.0,21.4539
36,10826.0,420.0,0.03,8264.0,21.64,0.0,21.4539
37,11124.0,413.0,0.01,8263.0,21.64,0.0,21.4539
38,11423.0,406.0,0.0,8263.0,21.64,0.0,21.4539
39,11721.0,412.0,0.01,8263.0,21.64,0.0,21.4539
40,12020.0,408.0,0.0,8263.0,21.64,0.0,21.4539
41,12318.0,417.0,0.02,8263.0,21.64,0.0,21.4539
42,12616.0,409.0,0.0,8263.0,21.64,0.0,21.4539
43,12915.0,422.0,0.03,8263.0,21.64,0.0,21.4539
44,13213.0,405.0,0.0,8263.0,21.68,0.0,21.4939
45,13511.0,407.0,0.0,8263.0,21.64,0.0,21.4539
46,13810.0,426.0,0.04,8263.0,21.64,0.0,21.4539
47,14108.0,433.0,0.06,8264.0,21.68,0.0,21.4939
48,14407.0,415.0,0.02,8263.0,21.68,0.0,21.4939
49,14705.0,428.0,0.05,8263.0,21.68,0.0,21.4939
50,15009.0,419.0,0.03,8264.0,21.68,0.0,21.4939
51,15307.0,426.0,0.04,8263.0,21.64,0.0,21.4539
52,15605.0,426.0,0.04,8263.0,21.64,0.0,21.4539
53,15904.0,422.0,0.03,8263.0,21.68,0.0,21.4939
54,16202.0,405.0,0.0,8264.0,21.68,0.0,21.4939
55,16503.0,412.0,0.01,8263.0,21.68,0.0,21.4939
56,16802.0,405.0,0.0,8263.0,21.68,0.0,21.4939
57,17100.0,429.0,0.05,8264.0,21.64,0.0,21.4539
58,17399.0,436.0,0.07,8263.0,21.68,0.0,21.4939
59,17697.0,405.0,0.0,8264.0,21.68,0.0,21.4939
60,17995.0,405.0,0.0,8264.0,21.68,0.0,21.4939
61,18294.0,405.0,0.0,8264.0,21.68,0.0,21.4939
62,18592.0,405.0,0.0,8264.0,21.68,0.0,21.4939
63,18891.0,405.0,0.0,8264.0,21.68,0.0,21.4939
64,19189.0,405.0,0.0,8263.0,21.68,0.0,21.4939
65,19487.0,405.0,0.0,8264.0,21.64,0.0,21.4539
66,19788.0,405.0,0.0,8263.0,21.68,0.0,21.4939
67,20086.0,405.0,0.0,8263.0,21.68,0.0,21.4939
68,20385.0,405.0,0.0,8264.0,21.68,0.0,21.4939
69,20683.0,405.0,0.0,8264.0,21.68,0.0,21.4939
70,20981.0,405.0,0.0,8265.0,21.64,0.0,21.4539
71,21280.0,405.0,0.0,8263.0,21.68,0.0,21.4939
72,21578.0,405.0,0.0,8264.0,21.68,0.0,21.4939
73,21877.0,405.0,0.0,8264.0,21.68,0.0,21.4939
74,22178.0,405.0,0.0,8264.0,21.68,0.0,21.4939
75,22476.0,405.0,0.0,8264.0,21.68,0.0,21.4939
76,22775.0,409.0,0.0,8263.0,21.68,0.0,21.4939
77,23073.0,417.0,0.02,8264.0,21.68,0.0,21.4939
78,23371.0,405.0,0.0,8264.0,21.68,0.0,21.4939
79,23670.0,405.0,0.0,8263.0,21.68,0.0,21.4939
80,23968.0,405.0,0.0,8264.0,21.68,0.0,21.4939
81,24267.0,405.0,0.0,8265.0,21.68,0.0,21.4939
82,24565.0,405.0,0.0,8264.0,21.68,0.0,21.4939
83,24863.0,405.0,0.0,8264.0,21.71,0.0,21.5239
